Student ID,Analysis,Machine Learning,Artificial Intelligence
1,2.393412671,3.324129347,0.039631096
2,3.228434178,3.109298649,5.621414891
3,6.611171616,3.603703815,4.830770027
4,4.55351888,5.030113742,4.84697594
5,4.151165323,6.555816091,4.126257144
6,9.077035502,7.478125262,3.321003992
7,7.039631096,8.201300407,2.667565198
8,3.021068686,8.306264399,1.976072963
9,5.011522874,6.622167472,1.220086585
10,2.006190799,4.272699487,0.656404386
11,3.324129347,2.393412671,0.32202138
12,3.109298649,1.228434178,2.15599814
13,3.603703815,0.611171616,0.076945636
14,5.030113742,0.30351888,0.039381467
15,6.555816091,0.151165323,0.021178522
16,7.478125262,3.077035502,8.733030097
17,8.201300407,0.039631096,0.006440428
18,8.306264399,2.021068686,0.003664553
19,6.622167472,0.011522874,3.002106869
20,4.272699487,0.006190799,0.001308056
21,2.006190799,4.272699487,0.656404386
22,3.324129347,2.393412671,0.32202138
23,4.109298649,5.228434178,2.15599814
24,3.603703815,2.611171616,0.076945636
25,6.892500004,5.85721035,6.100588246
