id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0030324,1,09-01-2016 06:26,09-01-2016 06:31,1,-73.93982697,40.69956207,-73.93199921,40.68913269,N,256
id3883723,2,25-02-2016 01:46,25-02-2016 01:57,2,-73.97908783,40.7594986,-73.97956085,40.72433472,N,660
id0674885,1,30-06-2016 07:37,30-06-2016 07:43,1,-73.96575165,40.75957489,-73.97911835,40.76510239,N,357
id3260324,2,07-02-2016 08:24,07-02-2016 08:38,1,-73.93280792,40.75893021,-73.9832077,40.76700974,N,836
id1561466,2,29-04-2016 20:21,29-04-2016 20:56,1,-73.96572876,40.76873016,-73.95587921,40.67308044,N,2120
id2106816,1,30-06-2016 10:53,30-06-2016 11:03,1,-73.98088074,40.78433609,-73.95667267,40.78061676,N,570
id2605569,1,08-05-2016 02:57,08-05-2016 03:02,2,-73.92628479,40.70328522,-73.9380188,40.70040894,N,293
id3293082,2,06-02-2016 19:50,06-02-2016 20:04,5,-73.97648621,40.75498962,-73.99115753,40.75128174,N,806
id0790613,1,20-05-2016 14:04,20-05-2016 14:33,1,-73.98630524,40.77702332,-73.9858551,40.77679062,N,1778
id0202431,1,17-02-2016 12:02,17-02-2016 12:18,1,-74.00413513,40.7428093,-73.98779297,40.74486542,N,975
id2084457,2,01-02-2016 08:41,01-02-2016 08:49,3,-73.98253632,40.77508163,-73.97176361,40.78459549,N,464
id2595331,2,29-04-2016 12:18,29-04-2016 12:29,1,-73.95469666,40.77397919,-73.96845245,40.76150894,N,621
id3448735,1,27-01-2016 06:45,27-01-2016 06:51,1,-73.99150085,40.74489212,-73.98327637,40.76048279,N,333
id1431322,1,21-02-2016 13:21,21-02-2016 13:34,2,-74.00970459,40.73965454,-73.99959564,40.72883606,N,769
id0130751,1,28-02-2016 19:47,28-02-2016 20:29,1,-73.98819733,40.76428986,-73.87281036,40.77445602,N,2554
id1444884,2,06-01-2016 18:15,06-01-2016 18:31,1,-73.99656677,40.73197556,-73.97901154,40.74990082,N,952
id0131920,2,13-02-2016 17:24,13-02-2016 17:56,1,-73.99660492,40.72550964,-73.99623871,40.72579575,N,1905
id2873647,1,18-01-2016 12:54,18-01-2016 13:05,1,-73.98000336,40.78566742,-73.96447754,40.77593231,N,640
id3949616,1,28-04-2016 08:51,28-04-2016 09:05,1,-73.99087524,40.75617981,-73.9740448,40.75735855,N,858
id1773809,2,21-05-2016 19:23,21-05-2016 19:27,1,-73.95514679,40.77324295,-73.95890045,40.78060532,N,258
id3630882,1,17-01-2016 00:24,17-01-2016 00:32,2,-73.97383118,40.76376724,-73.99476624,40.76020813,N,468
id0047649,1,06-06-2016 21:04,06-06-2016 21:32,4,-73.88536072,40.77310181,-73.91454315,40.88586044,N,1694
id0005214,2,26-03-2016 21:39,26-03-2016 21:52,2,-73.98606873,40.74650192,-73.9624939,40.76422119,N,751
id3878193,2,07-02-2016 00:56,07-02-2016 01:04,5,-73.98722076,40.73332977,-73.98297882,40.7444191,N,456
id2553871,1,01-05-2016 18:40,01-05-2016 18:45,1,-73.98388672,40.74906921,-73.98474121,40.74288559,N,257
id1527619,1,01-01-2016 03:20,01-01-2016 03:43,1,-73.99637604,40.74883652,-73.98712921,40.69756699,N,1327
id3813398,1,22-03-2016 22:35,22-03-2016 22:41,1,-73.98915863,40.75298691,-74.00553894,40.73887634,N,344
id0112070,2,30-04-2016 22:03,30-04-2016 22:06,2,-73.95523834,40.76884842,-73.95813751,40.77312851,N,174
id0054578,1,08-06-2016 21:42,08-06-2016 21:52,1,-73.96672058,40.76991653,-73.94744873,40.77528381,N,596
id3570508,1,15-03-2016 10:21,15-03-2016 10:41,2,-73.98228455,40.76819992,-73.97801208,40.75106812,N,1181
id2952272,2,27-04-2016 09:28,27-04-2016 09:42,1,-73.97483826,40.78296661,-73.93978119,40.8409729,N,820
id3413393,2,25-01-2016 21:40,25-01-2016 21:46,1,-73.98220825,40.76811981,-73.99611664,40.75370026,N,414
id0823435,2,19-03-2016 01:20,19-03-2016 01:37,1,-74.00029755,40.71113968,-73.98194122,40.76911926,N,1021
id0606104,2,24-06-2016 01:03,24-06-2016 01:15,6,-73.8708725,40.77374649,-73.95430756,40.71902466,N,730
id2814984,1,02-06-2016 16:48,02-06-2016 16:58,1,-73.99385071,40.76225662,-73.98201752,40.76664352,N,560
id3878816,2,17-04-2016 02:25,17-04-2016 02:34,5,-73.98686981,40.71960831,-73.95747375,40.71812057,N,560
id1942347,1,04-01-2016 18:17,04-01-2016 18:22,1,-73.96690369,40.76727295,-73.9719162,40.75954819,N,286
id1207558,1,12-05-2016 21:55,12-05-2016 22:21,1,-73.7767334,40.6451683,-73.91165161,40.70596695,N,1558
id2019893,2,26-04-2016 06:11,26-04-2016 06:17,3,-73.99688721,40.74219131,-73.98247528,40.75993347,N,322
id2575446,1,19-06-2016 09:55,19-06-2016 10:03,2,-73.98780823,40.7557373,-73.97988892,40.76554871,N,443
id0394946,1,16-03-2016 23:06,16-03-2016 23:16,1,-73.9978714,40.74615097,-73.97730255,40.78462982,N,583
id1868530,1,20-05-2016 19:01,20-05-2016 19:23,1,-73.97372437,40.76316833,-73.9908371,40.74549866,N,1280
id2087588,2,03-05-2016 18:50,03-05-2016 19:03,5,-73.99884033,40.73445511,-73.98098755,40.75030518,N,798
id0731416,2,16-06-2016 11:11,16-06-2016 11:40,1,-73.77896881,40.64736176,-73.82968903,40.7130394,N,1784
id3133710,1,19-03-2016 22:09,19-03-2016 22:13,1,-73.99423218,40.74124908,-73.99533081,40.74962997,N,221
id0382926,2,26-05-2016 19:22,26-05-2016 19:34,1,-74.00009918,40.76089859,-74.00900269,40.73258591,N,761
id1632403,1,21-06-2016 22:22,21-06-2016 22:26,1,-73.98764801,40.76048279,-73.97702789,40.76518631,N,234
id1507942,1,10-01-2016 17:54,10-01-2016 18:07,1,-73.97467041,40.75205612,-74.01213837,40.71695328,N,795
id1751730,1,29-05-2016 21:37,29-05-2016 21:59,1,-73.9240799,40.74399948,-73.99906921,40.7424469,N,1305
id2969048,1,15-03-2016 22:56,15-03-2016 23:01,2,-73.98643494,40.73047256,-73.99189758,40.73283768,N,270
id3044235,2,19-03-2016 21:09,19-03-2016 21:18,1,-73.96453857,40.75646591,-73.98112488,40.76281357,N,521
id3105039,2,24-03-2016 18:30,24-03-2016 18:32,2,-73.97680664,40.76490021,-73.98033905,40.76753616,N,123
id2299069,2,08-04-2016 00:26,08-04-2016 00:35,4,-73.98326874,40.75776291,-73.96813202,40.75731659,N,530
id1772192,1,20-03-2016 19:25,20-03-2016 20:01,1,-73.77675629,40.64538574,-73.9855957,40.73126602,N,2114
id3579210,2,25-01-2016 21:05,25-01-2016 22:01,1,-73.78208923,40.64464951,-73.97424316,40.78976059,N,3370
id2470556,2,25-06-2016 11:01,25-06-2016 11:18,1,-73.98628998,40.76719284,-73.97319031,40.7461586,N,1025
id3378098,1,28-03-2016 23:31,28-03-2016 23:45,1,-73.98934937,40.72644424,-74.00727081,40.70566177,N,806
id1381256,2,31-03-2016 10:45,31-03-2016 10:54,1,-73.92916107,40.76263046,-73.95310974,40.74253845,N,533
id2723985,2,14-06-2016 14:09,14-06-2016 14:12,2,-73.9848938,40.74734879,-73.98997498,40.73853302,N,196
id1576914,1,28-04-2016 08:57,28-04-2016 09:03,1,-73.96443176,40.76451111,-73.96287537,40.77664948,N,379
id3991516,1,06-02-2016 13:37,06-02-2016 14:00,4,-73.97305298,40.748703,-74.00402832,40.73358917,N,1399
id3340677,2,21-05-2016 00:51,21-05-2016 01:02,1,-73.98777771,40.71948242,-73.94535065,40.7078743,N,650
id3860883,1,14-03-2016 20:11,14-03-2016 20:24,1,-73.95412445,40.76388168,-73.97296143,40.76447678,N,789
id3781075,2,08-02-2016 21:57,08-02-2016 22:34,1,-73.98121643,40.77250671,-73.78286743,40.64884567,N,2251
id0782671,1,06-06-2016 17:57,06-06-2016 18:10,1,-73.97969055,40.73726273,-74.00151062,40.73851776,N,767
id0114631,2,06-03-2016 11:49,06-03-2016 11:56,1,-73.98670197,40.75047302,-73.9940567,40.7353363,N,422
id2991751,1,11-05-2016 16:06,11-05-2016 16:22,1,-73.97133636,40.7506218,-73.98197937,40.76259232,N,989
id0036157,1,11-04-2016 19:27,11-04-2016 19:35,1,-73.96585083,40.75437927,-73.96472168,40.77167511,N,476
id0558782,2,11-01-2016 00:56,11-01-2016 01:01,1,-73.98786163,40.74939346,-73.97274017,40.75670624,N,337
id1478457,1,23-03-2016 21:04,23-03-2016 21:25,1,-74.00961304,40.71004105,-73.94277954,40.70127106,N,1270
id1091477,2,07-05-2016 18:36,08-05-2016 18:32,1,-73.990242,40.75091934,-73.97628021,40.75088882,N,86149
id2980271,2,12-04-2016 18:48,12-04-2016 19:19,5,-74.00228882,40.72412109,-73.95427704,40.77886963,N,1818
id2881450,2,05-04-2016 10:23,05-04-2016 10:32,1,-73.9699173,40.78960037,-73.95339966,40.77986145,N,505
id0394313,2,22-05-2016 11:28,22-05-2016 11:38,1,-73.95838928,40.76899719,-73.97853088,40.76489258,N,580
id0594563,2,08-06-2016 21:12,08-06-2016 21:19,1,-73.97418976,40.73102951,-73.99314117,40.72777939,N,446
id0433216,1,25-06-2016 01:52,25-06-2016 01:57,1,-74.00237274,40.73884964,-73.99060059,40.74083328,N,314
id1921215,2,13-05-2016 05:39,13-05-2016 06:10,5,-73.98581696,40.75175858,-73.96495819,40.57614899,N,1901
id1392926,2,10-04-2016 20:18,10-04-2016 20:29,1,-73.96382904,40.77394104,-73.97328949,40.74829102,N,636
id1719421,2,02-03-2016 19:47,02-03-2016 19:53,1,-73.96846771,40.7571907,-73.96807861,40.7654686,N,326
id3664558,2,14-05-2016 15:25,14-05-2016 15:30,1,-73.99229431,40.74368286,-73.99160004,40.75012207,N,300
id2392441,1,03-05-2016 16:42,03-05-2016 17:00,2,-73.99412537,40.75106049,-73.97447205,40.75323486,N,1051
id3563156,1,13-02-2016 13:39,13-02-2016 13:55,2,-73.98047638,40.68839645,-73.94004059,40.69309998,N,946
id1282683,2,30-06-2016 09:01,30-06-2016 09:05,2,-73.98780823,40.75500488,-73.99435425,40.74287415,N,264
id2620597,1,19-01-2016 05:56,19-01-2016 06:04,1,-73.99432373,40.75097656,-73.97730255,40.7605896,N,527
id2772654,1,08-03-2016 18:48,08-03-2016 18:51,1,-73.96691132,40.78863907,-73.97187805,40.78652954,N,141
id1922759,1,16-01-2016 08:25,16-01-2016 08:31,4,-74.00604248,40.70775986,-73.97569275,40.71908569,N,348
id1290999,2,24-03-2016 10:48,24-03-2016 11:10,5,-73.97467041,40.74980927,-74.01725006,40.70497131,N,1359
id2057934,2,30-03-2016 13:48,30-03-2016 13:51,1,-73.9809494,40.74750137,-73.98545074,40.7417984,N,166
id0841416,1,20-02-2016 19:13,20-02-2016 19:30,1,-73.99771118,40.72084808,-73.97821045,40.75133896,N,1043
id1344493,1,16-05-2016 16:01,16-05-2016 16:03,1,-73.96513367,40.77515411,-73.96183777,40.77655411,N,121
id2849723,1,05-02-2016 14:00,05-02-2016 14:07,1,-73.95883942,40.78100204,-73.93949127,40.80517197,N,405
id1754536,2,01-02-2016 04:19,01-02-2016 04:41,1,-73.98307037,40.74180222,-73.95899963,40.67064667,N,1292
id1163091,2,01-04-2016 20:26,01-04-2016 20:38,1,-73.98667145,40.75120544,-73.97725677,40.78458786,N,728
id2021177,2,10-06-2016 18:45,10-06-2016 19:34,1,-73.78799438,40.64147949,-73.94726563,40.79083633,N,2911
id3070072,1,22-06-2016 23:53,23-06-2016 00:05,1,-73.98432159,40.75990677,-73.97826385,40.75234222,N,756
id0030923,2,07-03-2016 23:23,07-03-2016 23:27,2,-73.98477936,40.74546814,-73.97293854,40.74346924,N,270
id1040844,1,03-06-2016 15:10,03-06-2016 16:36,3,-73.87297058,40.77412415,-73.97544861,40.76535416,N,5152
id3442406,2,02-01-2016 12:41,02-01-2016 12:44,1,-73.99327087,40.74308014,-73.99559021,40.74924088,N,216
id2636301,2,23-01-2016 01:16,23-01-2016 01:33,1,-74.00491333,40.72830963,-73.99152374,40.75986481,N,977
id0635521,2,24-01-2016 22:14,24-01-2016 22:20,2,-73.95613861,40.77571487,-73.96102142,40.76531219,N,343
id2338426,2,27-04-2016 22:05,27-04-2016 22:10,1,-73.99373627,40.74139786,-73.97551727,40.74910355,N,317
id0055383,2,08-04-2016 08:29,08-04-2016 08:37,1,-74.01807404,40.70943832,-74.00189209,40.7081871,N,497
id0288522,1,14-06-2016 21:51,14-06-2016 21:57,1,-73.98999023,40.72979355,-73.97709656,40.74729156,N,349
id0583651,2,29-03-2016 07:39,29-03-2016 07:49,2,-73.97799683,40.78300858,-73.98863983,40.77236938,N,574
id3051132,2,08-01-2016 06:23,08-01-2016 06:28,1,-73.95549774,40.76824188,-73.96650696,40.76461029,N,306
id3988789,2,11-03-2016 20:27,11-03-2016 20:46,1,-73.95075989,40.77934265,-73.9910965,40.71398163,N,1143
id1965717,2,15-03-2016 14:55,15-03-2016 15:09,1,-73.97167969,40.76063538,-73.98944092,40.73671341,N,833
id1077219,2,03-05-2016 20:00,03-05-2016 20:03,2,-73.99572754,40.76438141,-73.98957062,40.76699829,N,133
id2722978,2,10-02-2016 18:24,10-02-2016 19:13,2,-74.01031494,40.72086716,-73.78234863,40.64874268,N,2916
id3018151,2,30-05-2016 12:13,30-05-2016 12:31,2,-73.87088013,40.77373886,-73.92906189,40.85084915,N,1087
id0463969,2,10-02-2016 00:02,10-02-2016 00:08,1,-73.97142029,40.76314926,-73.94835663,40.78213882,N,359
id2866012,1,11-03-2016 18:40,11-03-2016 18:51,1,-73.98457336,40.74755096,-74.00164032,40.72766113,N,672
id3842544,1,24-02-2016 08:27,24-02-2016 08:46,1,-73.95484924,40.77763748,-73.97052002,40.75922012,N,1144
id2776073,2,06-06-2016 20:13,06-06-2016 20:21,1,-73.97697449,40.75878143,-73.95858765,40.78183746,N,510
id3622908,1,14-02-2016 15:45,14-02-2016 15:57,2,-73.9822464,40.75071335,-74.00235748,40.75600815,N,705
id2271630,2,02-05-2016 23:51,02-05-2016 23:55,1,-73.99353027,40.7245903,-73.99182892,40.72234726,N,210
id3276295,1,10-03-2016 21:12,10-03-2016 21:18,1,-73.99447632,40.74055862,-73.98266602,40.74812698,N,321
id3430968,2,18-05-2016 16:56,18-05-2016 17:05,1,-73.97234344,40.7562294,-73.96507263,40.75923157,N,553
id0971699,1,19-05-2016 07:20,19-05-2016 07:21,1,-73.99272919,40.73750305,-73.99273682,40.73744965,N,41
id2795297,1,17-03-2016 21:43,17-03-2016 21:51,1,-73.99662781,40.73913574,-74.01019287,40.71469498,N,528
id1516894,1,22-03-2016 19:12,22-03-2016 19:44,2,-73.97883606,40.76494217,-73.99824524,40.72491837,N,1955
id3695319,1,20-05-2016 07:58,20-05-2016 08:01,1,-74.01602173,40.71549606,-74.00878143,40.71960449,N,180
id3116485,2,04-01-2016 12:31,04-01-2016 12:47,2,-74.00150299,40.75138092,-73.95876312,40.78345871,N,973
id1653630,1,26-01-2016 07:16,26-01-2016 07:25,1,-73.9609375,40.75657272,-73.97317505,40.75790787,N,520
id3524926,2,03-06-2016 18:28,03-06-2016 18:35,6,-73.96738434,40.78863525,-73.9778595,40.78366852,N,453
id3519014,2,03-06-2016 06:37,03-06-2016 06:53,1,-73.98458862,40.76948547,-74.0149765,40.71117783,N,967
id3533377,1,11-03-2016 14:45,11-03-2016 15:07,1,-73.99575043,40.75405884,-74.00893402,40.71537781,N,1321
id1118533,1,07-03-2016 17:09,07-03-2016 17:15,1,-73.95436096,40.78411865,-73.95957947,40.77121353,N,345
id0070454,1,22-01-2016 10:34,22-01-2016 10:52,1,-73.92485046,40.77190399,-73.93707275,40.80247116,N,1085
id0143557,2,04-04-2016 15:51,04-04-2016 15:54,2,-73.98506165,40.72405624,-73.97767639,40.72130585,N,154
id1798165,2,10-03-2016 09:46,10-03-2016 10:02,2,-73.97211456,40.75615692,-73.99154663,40.74427032,N,944
id2132049,2,25-05-2016 06:30,25-05-2016 06:48,2,-73.9807663,40.72977066,-73.87233734,40.77434158,N,1117
id3037145,1,28-03-2016 16:49,28-03-2016 17:00,1,-73.96337128,40.77768707,-73.98271942,40.77412415,N,663
id2999777,2,28-04-2016 20:28,28-04-2016 20:33,1,-74.001297,40.73112869,-73.99780273,40.72562027,N,356
id1618887,1,11-05-2016 16:02,11-05-2016 16:16,1,-74.0085144,40.74576569,-74.00338745,40.71754456,N,843
id3350679,1,26-04-2016 15:01,26-04-2016 15:06,1,-73.96990204,40.76556778,-73.96193695,40.77634048,N,299
id0024565,1,08-02-2016 17:45,08-02-2016 18:02,1,-73.98222351,40.76536942,-73.99505615,40.72635269,N,1051
id3975607,2,24-01-2016 14:23,24-01-2016 14:28,1,-73.97509003,40.78263092,-73.98479462,40.76934433,N,311
id2439067,2,04-03-2016 07:25,04-03-2016 07:38,2,-73.97176361,40.74614334,-73.99476624,40.74531174,N,736
id2512903,2,07-03-2016 02:57,07-03-2016 03:03,2,-73.97071075,40.79608154,-73.94927979,40.80754089,N,417
id3825472,2,15-02-2016 22:52,15-02-2016 22:58,2,-73.97322845,40.76395035,-73.96340942,40.76578903,N,345
id3486216,2,25-06-2016 04:31,25-06-2016 04:49,1,-73.9940567,40.7203331,-73.95796967,40.64213562,N,1061
id0892508,1,04-06-2016 21:21,04-06-2016 22:02,1,-73.96652985,40.80073929,-73.98165894,40.67969513,N,2472
id2961850,2,04-05-2016 18:37,04-05-2016 19:03,2,-73.95574188,40.76423645,-73.99728394,40.7257309,N,1527
id3409041,1,12-04-2016 21:07,12-04-2016 21:18,1,-73.97693634,40.75594711,-73.9539032,40.78162384,N,641
id2534249,1,11-02-2016 18:57,11-02-2016 19:05,1,-73.9822998,40.7753334,-73.9723053,40.78404617,N,493
id2702962,1,13-03-2016 03:54,13-03-2016 04:11,1,-73.99999237,40.7384758,-73.97868347,40.68538666,N,1005
id2675348,2,16-02-2016 06:46,16-02-2016 06:58,1,-74.00227356,40.72393036,-73.97460938,40.75524139,N,700
id3969833,2,14-05-2016 22:11,14-05-2016 22:32,1,-73.99165344,40.74972916,-73.96401215,40.8027916,N,1210
id2835552,1,17-05-2016 09:53,17-05-2016 10:06,1,-73.96417999,40.76036835,-73.9750824,40.74446106,N,796
id0204695,2,25-05-2016 19:15,25-05-2016 20:01,1,-73.78878784,40.64198303,-73.97268677,40.78567123,N,2786
id0764224,1,06-02-2016 15:11,06-02-2016 15:19,1,-73.99530792,40.72899628,-73.98370361,40.72176743,N,519
id1978091,2,22-01-2016 18:39,22-01-2016 18:46,3,-73.99622345,40.72639847,-74.00889587,40.7206459,N,433
id0751011,2,10-06-2016 13:12,10-06-2016 13:45,5,-73.99307251,40.75284958,-73.9730835,40.74055862,N,2003
id3311359,2,02-03-2016 21:51,02-03-2016 22:10,1,-73.98862457,40.76372528,-73.95720673,40.76334381,N,1174
id3171343,2,11-04-2016 07:38,11-04-2016 07:55,1,-73.9546814,40.76982117,-73.96666718,40.78889847,N,1057
id2791754,2,09-01-2016 00:05,09-01-2016 00:16,2,-73.98647308,40.7402916,-73.9927063,40.72272491,N,644
id0572515,2,15-06-2016 19:44,15-06-2016 19:57,6,-73.98493958,40.75151825,-73.98436737,40.72889328,N,765
id3620729,2,16-01-2016 20:53,16-01-2016 20:58,3,-73.96549988,40.76279831,-73.97689056,40.76087189,N,304
id1880340,1,02-01-2016 21:37,02-01-2016 21:44,1,-73.98867035,40.75656128,-73.98477173,40.76417923,N,379
id0905194,2,25-03-2016 13:43,25-03-2016 13:49,1,-73.96585846,40.75423813,-73.9797287,40.75085831,N,357
id2272498,2,29-04-2016 12:21,29-04-2016 12:33,1,-74.01006317,40.72092819,-74.00946808,40.70521545,N,683
id0763854,1,07-04-2016 21:49,07-04-2016 21:56,1,-73.99588013,40.75426865,-73.98917389,40.77346802,N,395
id2529714,1,19-02-2016 22:42,19-02-2016 22:55,1,-73.99481964,40.72590637,-73.98501587,40.74460602,N,774
id0666080,1,24-05-2016 08:43,24-05-2016 08:55,1,-73.99132538,40.7449913,-73.97831726,40.76317978,N,711
id2722675,1,28-04-2016 07:56,28-04-2016 08:08,1,-73.98737335,40.7685585,-73.97554016,40.75811768,N,663
id1677164,2,06-05-2016 23:45,07-05-2016 00:12,1,-73.97380066,40.75534821,-74.00977325,40.73529053,N,1611
id1885352,2,16-03-2016 19:52,16-03-2016 19:59,1,-73.97759247,40.73786163,-73.96018219,40.76202011,N,442
id0508659,2,21-04-2016 09:49,21-04-2016 09:53,1,-73.96762085,40.79295731,-73.96215057,40.80534744,N,263
id2684070,2,06-01-2016 14:14,06-01-2016 14:25,1,-74.00805664,40.72246933,-73.99311066,40.74858093,N,666
id1483820,2,01-03-2016 17:40,01-03-2016 17:56,1,-73.97872162,40.73703003,-73.99059296,40.75595856,N,982
id1623107,1,05-05-2016 15:22,05-05-2016 15:57,1,-74.00457764,40.74689484,-73.94312286,40.77731705,N,2142
id2549441,1,24-05-2016 18:58,24-05-2016 19:15,1,-73.97873688,40.75124741,-73.95549011,40.77685165,N,1037
id2762506,1,16-01-2016 17:07,16-01-2016 17:18,2,-73.9622879,40.77907562,-73.97880554,40.76216888,N,658
id1868430,2,01-05-2016 12:33,01-05-2016 13:09,1,-73.97937775,40.78210831,-73.85003662,40.72346878,N,2164
id3515780,1,05-03-2016 18:54,05-03-2016 19:04,1,-73.97913361,40.76149368,-73.98236084,40.77260208,N,583
id3405361,1,23-04-2016 20:14,23-04-2016 20:33,2,-73.99008179,40.75591278,-73.97603607,40.74194717,N,1149
id0681983,2,24-05-2016 23:52,24-05-2016 23:57,1,-74.00527191,40.72881699,-74.01078033,40.71362686,N,294
id2448458,1,23-06-2016 00:11,23-06-2016 00:22,2,-73.99025726,40.72489548,-74.00933838,40.710392,N,685
id1427787,1,07-02-2016 14:03,07-02-2016 14:11,1,-73.98918152,40.75632095,-73.99058533,40.7514267,N,501
id2333523,1,07-04-2016 19:01,07-04-2016 19:09,1,-73.99066925,40.71835327,-73.95612335,40.71532822,N,462
id3457626,1,24-04-2016 21:14,24-04-2016 21:54,1,-73.789711,40.64757538,-73.99479675,40.74525452,N,2382
id1991110,1,20-03-2016 12:20,20-03-2016 12:34,2,-73.96089172,40.77005005,-73.98954773,40.77302551,N,803
id2916620,1,15-05-2016 18:48,15-05-2016 19:14,2,-73.96424866,40.75658417,-73.91984558,40.70723343,N,1537
id2553024,1,23-04-2016 13:43,23-04-2016 14:47,4,-73.78155518,40.64474869,-73.98970795,40.75898361,N,3826
id2520113,2,02-06-2016 21:16,02-06-2016 21:34,1,-73.98709869,40.74271011,-73.98023987,40.76560974,N,1081
id2647877,2,25-06-2016 23:57,26-06-2016 00:08,2,-73.99954987,40.73852158,-73.99233246,40.75836182,N,625
id3006690,2,15-01-2016 18:10,15-01-2016 18:40,1,-73.94229889,40.71195984,-73.9825058,40.72304153,N,1809
id2839015,2,07-02-2016 18:09,07-02-2016 18:21,2,-73.97406769,40.75786972,-73.99972534,40.73470688,N,774
id2255384,2,10-04-2016 19:02,10-04-2016 19:11,1,-73.97611237,40.74002838,-73.98329926,40.75056076,N,561
id1892369,1,17-05-2016 12:40,17-05-2016 12:56,1,-73.99707031,40.73762131,-73.99311829,40.72421646,N,980
id3933659,1,02-04-2016 10:23,02-04-2016 10:40,1,-73.98872375,40.72150421,-73.97638702,40.7610817,N,979
id3349387,2,19-05-2016 07:57,19-05-2016 08:02,1,-73.99085999,40.75618744,-73.98459625,40.76312256,N,283
id0208123,1,12-01-2016 17:06,12-01-2016 17:14,2,-73.98986053,40.77215195,-73.9749527,40.79285812,N,476
